id,filename,mask_filename,doc_type,tamper_class,label,width,height,person_name,dob
0000_aadhaar_genuine,images/0000_aadhaar_genuine.png,masks/0000_aadhaar_genuine_mask.png,aadhaar,genuine,0,856,540,Gaurav Sharma,1988-09-06
0001_passport_tampered_photo,images/0001_passport_tampered_photo.png,masks/0001_passport_tampered_photo_mask.png,passport,tampered_photo,1,860,600,Meera Agarwal,1987-04-29
0002_voter_id_tampered_text,images/0002_voter_id_tampered_text.png,masks/0002_voter_id_tampered_text_mask.png,voter_id,tampered_text,2,856,540,Neha Saxena,1982-06-15
0003_pan_card_genuine,images/0003_pan_card_genuine.png,masks/0003_pan_card_genuine_mask.png,pan_card,genuine,0,856,540,Divya Verma,1990-03-16
0004_driving_license_tampered_photo,images/0004_driving_license_tampered_photo.png,masks/0004_driving_license_tampered_photo_mask.png,driving_license,tampered_photo,1,856,540,Ajay Verma,1985-12-20
0005_aadhaar_tampered_text,images/0005_aadhaar_tampered_text.png,masks/0005_aadhaar_tampered_text_mask.png,aadhaar,tampered_text,2,856,540,Aarav Gupta,1985-02-27
0006_passport_genuine,images/0006_passport_genuine.png,masks/0006_passport_genuine_mask.png,passport,genuine,0,860,600,Yash Gupta,1987-03-12
0007_voter_id_tampered_photo,images/0007_voter_id_tampered_photo.png,masks/0007_voter_id_tampered_photo_mask.png,voter_id,tampered_photo,1,856,540,Varun Chopra,1968-09-20
0008_pan_card_tampered_text,images/0008_pan_card_tampered_text.png,masks/0008_pan_card_tampered_text_mask.png,pan_card,tampered_text,2,856,540,Mohan Reddy,1998-06-06
0009_driving_license_genuine,images/0009_driving_license_genuine.png,masks/0009_driving_license_genuine_mask.png,driving_license,genuine,0,856,540,Nikhil Singh,1977-10-16
0010_aadhaar_tampered_photo,images/0010_aadhaar_tampered_photo.png,masks/0010_aadhaar_tampered_photo_mask.png,aadhaar,tampered_photo,1,856,540,Sunita Banerjee,1990-12-23
0011_passport_tampered_text,images/0011_passport_tampered_text.png,masks/0011_passport_tampered_text_mask.png,passport,tampered_text,2,860,600,Mohan Banerjee,1963-04-28
0012_voter_id_genuine,images/0012_voter_id_genuine.png,masks/0012_voter_id_genuine_mask.png,voter_id,genuine,0,856,540,Sachin Chopra,1982-06-13
0013_pan_card_tampered_photo,images/0013_pan_card_tampered_photo.png,masks/0013_pan_card_tampered_photo_mask.png,pan_card,tampered_photo,1,856,540,Aditi Banerjee,1965-06-12
0014_driving_license_tampered_text,images/0014_driving_license_tampered_text.png,masks/0014_driving_license_tampered_text_mask.png,driving_license,tampered_text,2,856,540,Divya Malhotra,1974-11-22
0015_aadhaar_genuine,images/0015_aadhaar_genuine.png,masks/0015_aadhaar_genuine_mask.png,aadhaar,genuine,0,856,540,Varun Malhotra,1968-12-07
0016_passport_tampered_photo,images/0016_passport_tampered_photo.png,masks/0016_passport_tampered_photo_mask.png,passport,tampered_photo,1,860,600,Tanvi Mukherjee,1980-05-26
0017_voter_id_tampered_text,images/0017_voter_id_tampered_text.png,masks/0017_voter_id_tampered_text_mask.png,voter_id,tampered_text,2,856,540,Rekha Mehta,1963-01-29
0018_pan_card_genuine,images/0018_pan_card_genuine.png,masks/0018_pan_card_genuine_mask.png,pan_card,genuine,0,856,540,Sangeeta Mukherjee,1979-02-22
0019_driving_license_tampered_photo,images/0019_driving_license_tampered_photo.png,masks/0019_driving_license_tampered_photo_mask.png,driving_license,tampered_photo,1,856,540,Mohan Das,1994-11-05
0020_aadhaar_tampered_text,images/0020_aadhaar_tampered_text.png,masks/0020_aadhaar_tampered_text_mask.png,aadhaar,tampered_text,2,856,540,Tanvi Singh,1997-04-27
0021_passport_genuine,images/0021_passport_genuine.png,masks/0021_passport_genuine_mask.png,passport,genuine,0,860,600,Kiran Gupta,1962-10-10
0022_voter_id_tampered_photo,images/0022_voter_id_tampered_photo.png,masks/0022_voter_id_tampered_photo_mask.png,voter_id,tampered_photo,1,856,540,Sachin Yadav,1994-07-31
0023_pan_card_tampered_text,images/0023_pan_card_tampered_text.png,masks/0023_pan_card_tampered_text_mask.png,pan_card,tampered_text,2,856,540,Sneha Dubey,1997-08-23
0024_driving_license_genuine,images/0024_driving_license_genuine.png,masks/0024_driving_license_genuine_mask.png,driving_license,genuine,0,856,540,Neha Dubey,1988-05-03
0025_aadhaar_tampered_photo,images/0025_aadhaar_tampered_photo.png,masks/0025_aadhaar_tampered_photo_mask.png,aadhaar,tampered_photo,1,856,540,Meera Sharma,1983-01-06
0026_passport_tampered_text,images/0026_passport_tampered_text.png,masks/0026_passport_tampered_text_mask.png,passport,tampered_text,2,860,600,Mohan Pandey,1984-11-07
0027_voter_id_genuine,images/0027_voter_id_genuine.png,masks/0027_voter_id_genuine_mask.png,voter_id,genuine,0,856,540,Sachin Nair,1999-11-17
0028_pan_card_tampered_photo,images/0028_pan_card_tampered_photo.png,masks/0028_pan_card_tampered_photo_mask.png,pan_card,tampered_photo,1,856,540,Sachin Sharma,1972-10-25
0029_driving_license_tampered_text,images/0029_driving_license_tampered_text.png,masks/0029_driving_license_tampered_text_mask.png,driving_license,tampered_text,2,856,540,Sunita Rao,1986-10-10
0030_aadhaar_genuine,images/0030_aadhaar_genuine.png,masks/0030_aadhaar_genuine_mask.png,aadhaar,genuine,0,856,540,Divya Das,1966-02-27
0031_passport_tampered_photo,images/0031_passport_tampered_photo.png,masks/0031_passport_tampered_photo_mask.png,passport,tampered_photo,1,860,600,Vikram Yadav,1967-11-15
0032_voter_id_tampered_text,images/0032_voter_id_tampered_text.png,masks/0032_voter_id_tampered_text_mask.png,voter_id,tampered_text,2,856,540,Gaurav Mukherjee,1979-10-27
0033_pan_card_genuine,images/0033_pan_card_genuine.png,masks/0033_pan_card_genuine_mask.png,pan_card,genuine,0,856,540,Amit Reddy,1970-12-23
0034_driving_license_tampered_photo,images/0034_driving_license_tampered_photo.png,masks/0034_driving_license_tampered_photo_mask.png,driving_license,tampered_photo,1,856,540,Sachin Srivastava,1964-02-23
